Epoch	Sims	CorrectCommits	HonestWins	WinPercentage	AverageRounds	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
75	150	215	69	0.46	25.8	89.709335	191.48793	352.0	-957.6	24.8	-2.1867385	19.796635	35.14119	-81.969154	456000.0	1.557522e-09	177806.36	-0.0055768844	-10912.047	0.2641912	0.0150655005	0.06918344	61.0	435.4192318916321
76	255	364	117	0.4588235294117647	14.650980392156862	86.74903	48.76874	259.6	2.6	13.65098	-61.047688	38.025368	-7.4021225	-173.25003	462000.0	1.9574986e-07	2569.1733	-0.007023972	-942.525	0.36736315	0.0024760703	0.047438644	79.0	445.7828907966614
77	239	349	112	0.4686192468619247	15.686192468619247	99.72887	47.52375	274.5	9.1	14.6861925	-37.73665	32.602505	-2.2034245	-121.2273	468000.0	-7.0634314e-08	1572.6521	-0.004128122	-652.54254	0.37615728	0.0018160419	0.025666501	79.0	457.56819701194763
78	234	364	117	0.5	16.021367521367523	102.36709	48.608204	278.2	16.7	15.021367	-19.814384	27.009737	1.6644377	-105.69165	474000.0	-1.7007272e-08	913.122	-0.006507918	-428.12653	0.3577262	0.0034760688	0.071250625	79.0	463.622407913208
79	194	312	100	0.5154639175257731	19.938144329896907	108.230934	87.856636	319.6	-815.1	18.938145	-5.232359	15.613966	10.42638	-60.652847	480000.0	-8.693554e-09	29851.229	-0.0018682587	-141.63477	0.30221915	0.002325897	0.041154996	79.0	474.3197259902954
80	208	313	101	0.4855769230769231	19.02403846153846	110.98847	59.73491	328.6	-12.6	18.024038	-2.3294957	9.548877	12.247447	-32.404152	486000.0	-7.065122e-09	347.25598	-0.015846185	-45.608765	0.33097535	0.016498758	0.1021611	10.0	483.422691822052
81	130	198	64	0.49230769230769234	31.015384615384615	124.22462	198.2039	364.6	-1150.8	30.015385	0.063130125	8.790435	14.768477	-24.352142	492000.0	2.2174143e-08	117195.055	-0.0038359452	-3924.1016	0.22522837	0.0043989094	0.046523098	79.0	493.6124699115753
82	165	236	77	0.4666666666666667	22.945454545454545	128.66547	56.70974	331.4	16.9	21.945454	-15.474936	17.313227	-3.3211975	-88.34595	498000.0	9.227842e-08	720.9192	-0.003986826	-41.190918	0.2848258	0.0021720894	0.048503783	79.0	506.2758538722992
83	143	240	79	0.5524475524475524	26.16083916083916	118.405594	138.61125	276.5	-887.7	25.16084	-13.928513	17.251583	-2.0589018	-86.4423	504000.0	9.9686694e-09	87991.07	-0.004436577	-585.46875	0.24812381	0.015256063	0.07057654	74.0	518.7826788425446
84	246	390	124	0.5040650406504065	15.386178861788618	94.17399	51.43605	283.1	-0.5	14.386179	-25.104342	19.528866	-7.044865	-93.69418	510000.0	-4.1686246e-08	842.3562	-0.013231189	-129.13922	0.3647988	0.0041893227	0.06456953	79.0	527.1794369220734
85	201	293	94	0.46766169154228854	19.592039800995025	110.114426	79.0347	276.2	-681.8	18.59204	-17.485275	15.931005	-4.577096	-85.14504	516000.0	-2.376343e-08	29521.57	-0.0009456209	-12.896484	0.33191174	0.0037115035	0.057894737	79.0	537.1736869812012
86	254	373	120	0.47244094488188976	14.68503937007874	90.26339	46.694542	252.9	8.2	13.6850395	-16.921862	15.562034	-4.0831347	-82.02681	522000.0	-1.8966915e-07	631.33325	-0.012285598	-108.1676	0.37644857	0.015028173	0.12662014	9.0	545.3570129871368
87	156	244	76	0.48717948717948717	24.48076923076923	127.50065	60.339756	323.2	14.9	23.48077	-12.134967	14.052875	-1.3473382	-74.44315	528000.0	-6.361837e-08	627.7312	-0.004760282	-58.44873	0.27840838	0.0008508654	0.031496063	79.0	553.5470371246338
